# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
-80.0359,96.7356,3.71827e+17,37.1134,nan,nan,nan,36.2473,33.2637,31.5824,29.1936,18.5271,13.6578,235.571
-80.8101,95.8052,5.14947e+17,51.8376,nan,nan,nan,52.0482,47.8353,44.6393,42.8063,25.1297,15.4365,235.987
-80.6572,96.7319,4.54676e+17,42.7867,nan,nan,nan,42.5046,42.2852,41.7944,37.3376,21.4382,14.3473,235.122
-80.5024,97.631,3.58178e+17,34.7894,nan,nan,nan,33.5858,31.6361,30.632,27.8148,17.5352,13.299,234.459
-80.3455,98.5056,3.00872e+17,28.9566,nan,nan,nan,27.3219,25.7541,25.1158,22.4704,14.6792,12.2727,236.64
-81.1438,97.7234,4.12902e+17,46.4148,nan,nan,nan,44.8449,34.0042,29.7086,31.5528,22.4518,15.2735,236.792
-80.9828,98.6705,3.84686e+17,39.4932,nan,nan,nan,38.0221,33.1232,30.7318,29.5017,19.3047,14.0474,236.211
-80.82,99.5874,2.77811e+17,27.9598,nan,nan,nan,25.5919,22.6238,21.3545,19.8681,13.7924,12.0569,236.338
-80.655,100.477,3.45408e+17,33.0703,nan,nan,nan,31.2505,29.9508,29.1353,26.0201,16.4353,12.9234,238.223
-81.4826,99.8968,4.44326e+17,41.3388,nan,nan,nan,40.5306,39.855,39.3325,35.2326,20.5855,14.1921,236.341
-81.3119,100.864,4.1805e+17,38.905,nan,nan,nan,37.6971,37.0947,36.5903,32.6223,19.42,13.8653,236.041
-81.1394,101.798,3.92437e+17,36.9104,nan,nan,nan,35.284,34.2922,33.5776,30.0588,18.3879,13.5811,235.855
-80.9649,102.702,2.10215e+17,19.9775,nan,nan,nan,16.861,15.9109,15.4546,13.989,10.0135,10.206,237.388
-81.8272,102.399,4.34018e+17,40.264,nan,nan,nan,38.9222,37.8649,37.2476,33.5954,20.0196,14.0777,236.497
-81.645,103.383,2.92417e+17,27.983,nan,nan,nan,24.903,23.8709,23.0579,20.605,13.7184,11.9655,236.801
-81.461,104.331,3.09636e+17,29.4893,nan,nan,nan,26.4714,25.389,24.6106,22.1552,14.6356,12.3412,234.893
-81.275,105.246,3.68261e+17,34.4881,nan,nan,nan,32.134,31.3176,30.5541,27.2241,17.0407,13.1701,237.27
-81.6856,100.919,3.84685e+17,40.8112,nan,nan,nan,38.1829,30.9347,28.3306,28.6403,19.8002,14.3614,237.96
-81.5098,101.902,4.23414e+17,40.3671,nan,nan,nan,38.8335,36.3939,35.4351,33.0105,20.2504,14.2028,235.688
-81.3323,102.851,3.6108e+17,34.2421,nan,nan,nan,32.0161,30.8201,29.9855,26.8785,16.9585,13.154,236.328
-81.1527,103.768,3.10094e+17,30.3889,nan,nan,nan,27.4196,25.4322,24.2503,22.0642,14.7773,12.4315,239.28
-81.3792,98.3201,4.10238e+17,42.2719,nan,nan,nan,40.8613,34.9994,32.4926,31.9429,20.8832,14.549,237.717
-81.2148,99.2927,3.43056e+17,33.7845,nan,nan,nan,31.8588,29.2374,27.9876,25.7976,16.7806,13.1391,236.263
-81.0484,100.233,3.35284e+17,32.4861,nan,nan,nan,30.4674,28.6747,27.7,25.0092,16.0874,12.8482,236.645
-80.8799,101.144,3.21386e+17,31.428,nan,nan,nan,29.0963,26.9549,25.8744,23.6445,15.5863,12.7003,237.376
-81.0762,96.0155,3.99718e+17,43.8983,nan,nan,nan,42.721,34.194,30.201,30.6324,21.2328,14.7884,236.621
-80.9212,96.9742,3.7347e+17,37.0424,nan,nan,nan,35.8889,32.9065,31.3451,29.1253,18.5131,13.6724,236.152
-80.7644,97.9033,3.7416e+17,36.203,nan,nan,nan,35.0251,33.1777,32.1674,29.2146,18.1778,13.5055,235.955
-80.6053,98.806,2.893e+17,28.6054,nan,nan,nan,26.6542,24.2434,23.1756,21.0961,14.1968,12.1518,236.291
-80.7753,93.9434,4.7416e+17,45.1759,nan,nan,nan,45.1439,45.0043,44.1397,39.3305,22.2716,14.5251,236.091
-80.6285,94.8875,4.58025e+17,43.3351,nan,nan,nan,43.1553,42.9808,42.4812,38.0242,21.7625,14.4081,234.286
-80.4796,95.8046,4.03142e+17,38.4913,nan,nan,nan,37.8659,36.8601,36.2507,32.5747,19.5094,13.8253,233.55
-80.3286,96.6973,4.17008e+17,39.8341,nan,nan,nan,39.2773,38.368,37.6256,33.6982,19.9701,13.9627,235.452
-80.4752,92.0566,5.39069e+17,50.5675,nan,nan,nan,50.9687,52.6488,52.347,46.4609,24.9392,15.0862,233.315
-80.3353,92.9868,4.13751e+17,39.5226,nan,nan,nan,39.1473,38.3761,37.9183,34.0755,20.1523,13.9566,232.184
-80.1933,93.8921,2.84919e+17,27.7311,nan,nan,nan,26.7525,24.4096,23.6937,21.5292,14.3655,12.1231,232.765
-80.049,94.775,3.03239e+17,29.5594,nan,nan,nan,28.6131,26.4383,25.6522,23.1329,15.1203,12.4076,235.807
-80.1743,90.318,4.95569e+17,58.0935,nan,nan,nan,58.1155,47.0023,38.5671,38.5413,25.6023,15.874,233.008
-80.0402,91.2358,4.04535e+17,41.8465,nan,nan,nan,41.4882,37.2248,34.3818,32.4608,20.6665,14.317,232.555
-79.9041,92.1304,2.92254e+17,28.9553,nan,nan,nan,28.2166,25.3631,24.2913,22.1683,14.8131,12.3052,232.667
-79.9252,88.9462,5.85509e+17,62.5199,nan,nan,nan,62.958,58.5385,51.2876,49.2622,28.8991,16.2643,232.841
-79.7954,89.8555,4.30741e+17,42.5683,nan,nan,nan,42.4068,40.69,39.228,35.6708,21.2443,14.2675,232.363
-79.6634,90.7429,3.32772e+17,33.3686,nan,nan,nan,32.8414,29.7946,28.3684,25.9672,16.8546,13.0276,233.035
-79.5291,91.6107,3.06296e+17,30.1524,nan,nan,nan,29.5332,26.9171,25.9842,23.6689,15.5229,12.5311,234.996
-79.6161,87.4061,5.16115e+17,55.5686,nan,nan,nan,55.7577,50.6508,44.1415,42.0848,25.7673,15.5951,232.487
-79.4906,88.3064,2.88007e+17,27.9308,nan,nan,nan,27.3263,24.9687,24.473,22.1492,14.5785,12.0958,232.605
-79.3629,89.1861,3.59793e+17,35.8551,nan,nan,nan,35.3691,32.6218,31.1637,28.6406,18.2254,13.4369,232.684
-79.2328,90.0475,3.01483e+17,28.8804,nan,nan,nan,28.2142,26.3097,26.0995,23.5328,15.2102,12.3223,233.711
-79.3005,85.9426,8.2598e+17,69.4322,nan,nan,nan,71.769,86.8839,91.7954,76.839,33.4521,16.3652,230.803
-79.1787,86.8362,4.21177e+17,40.2654,nan,nan,nan,39.9097,38.994,38.4513,34.9273,20.7678,14.042,231.725
-79.0546,87.7104,2.97133e+17,29.0804,nan,nan,nan,28.084,25.6147,24.7525,22.6648,15.0998,12.3295,231.876
-78.9279,88.5673,2.54756e+17,24.8575,nan,nan,nan,23.7244,21.181,20.4576,18.7202,12.9371,11.4807,233.939
-78.9741,84.5511,8.33105e+17,71.6911,nan,nan,nan,75.6153,86.1943,87.1247,75.7331,34.4256,16.6179,230.736
